 Name,CatCode, IsActive, ImageFilename
 Adhesives & Accessories , adhesives,Y, adhesives.jpg
 Bushings, bushings,Y, bushings.png
 Click Patch, clickpatch,Y, click-patch.jpg
 Mounts & Cable Ties, mounts,Y, mounts.png
 Nutplates, nutplates,Y, nutplates.png
 Studs & Standoffs, studsandstands,Y, studsandstands.png
 Tools & Accessories, tools,Y, tools.png
 Tools,,N,
 Adhesive Cartridges/Kits,,N,
 Threaded Bushings,,N,
 Cable-Tie Mounts,,N,
 Miniature,,N,
 Swivel Cable-Tie Mounts,,N,
 Through-Hole Bushings,,N,
 Accessories,,N,
 Adhesive Mixing Tips,,N,
 Other,,N,
 Insulation Blanket Mounts,,N,
 Threaded Mounts,,N,
 Sealed,,N,
 Standoffs,,N,
 Standard,,N,
 Other,,N,
 Cable Ties,,N,
 Accessories,,N,
 Other,,N,
 Adhesive Dispensers,,N,
 Composite Base Nutplates,,N,
 Sleeved,,N,
 Click Patch,,N,
 Studs,,N,
